id,timestamp,cpu_percent,ram_percent,disk_percent,net_sent_mb,net_recv_mb,thread_count,process_count,network_latency_ms,context_switches,cache_miss_rate,temperature,power_consumption,uptime,anomaly_label
1,2025-06-01T00:00:00,40.6,43.6,73.5,0.74,1.4,3230,646,127.99,1500,0.0658,82.8,255.01,715.8,0
2,2025-06-01T00:00:05,95.3,40.0,20.1,1.07,2.66,3130,626,92.4,243,0.1235,59.4,81.2,86.16,0
3,2025-06-01T00:00:10,74.5,25.9,36.0,2.2,4.99,303,101,192.94,229,0.0255,91.0,210.69,545.76,0
4,2025-06-01T00:00:15,61.9,64.7,67.0,2.59,5.76,156,52,44.58,1574,0.1789,37.3,90.4,541.92,0
5,2025-06-01T00:00:20,19.8,52.9,49.2,2.83,7.56,378,126,117.98,1164,0.1675,40.2,87.1,113.66,0
6,2025-06-01T00:00:25,19.8,87.9,74.4,3.53,8.72,2784,696,140.34,1814,0.0999,30.1,162.31,471.75,0
7,2025-06-01T00:00:30,10.5,12.9,96.2,4.72,11.32,2661,887,165.29,1137,0.1034,44.1,171.39,250.5,0
8,2025-06-01T00:00:35,87.3,67.9,13.4,4.97,11.81,3155,631,81.99,1073,0.1775,72.7,76.03,167.37,0
9,2025-06-01T00:00:40,62.1,78.7,71.5,5.41,13.51,3615,723,137.7,1089,0.0196,77.0,177.95,82.96,0
10,2025-06-01T00:00:45,72.3,78.4,24.6,5.92,14.78,3285,657,61.34,1556,0.0373,57.9,94.12,194.14,0
11,2025-06-01T00:00:50,7.0,89.7,42.6,6.16,15.9,130,65,87.66,1867,0.0685,46.7,187.66,645.26,0
12,2025-06-01T00:00:55,97.1,75.6,5.2,7.05,18.12,1395,279,179.23,1556,0.0792,76.6,258.03,729.61,0
13,2025-06-01T00:01:00,84.1,93.5,15.3,8.15,19.85,2859,953,190.03,638,0.1976,41.2,71.49,229.32,0
14,2025-06-01T00:01:05,25.2,39.9,33.3,8.43,21.9,3864,966,144.04,1972,0.038,79.9,149.81,574.18,0
15,2025-06-01T00:01:10,22.3,55.3,35.5,8.85,23.23,3752,938,75.5,522,0.0676,81.1,108.43,372.22,0
16,2025-06-01T00:01:15,22.4,11.3,90.2,9.9,25.05,1580,316,164.19,1452,0.1673,58.7,193.66,542.04,0
17,2025-06-01T00:01:20,33.9,10.6,74.7,9.84,24.79,1775,355,6.15,1031,0.159,42.6,273.38,246.95,0
18,2025-06-01T00:01:25,54.9,31.6,97.3,10.22,25.52,1808,904,21.45,1645,0.1344,70.9,99.32,46.89,0
19,2025-06-01T00:01:30,46.0,19.1,60.7,10.64,26.83,275,55,132.61,1984,0.0724,85.5,219.08,327.52,0
20,2025-06-01T00:01:35,32.7,33.4,25.7,10.83,28.32,795,159,58.96,999,0.0324,64.4,73.27,161.52,0
21,2025-06-01T00:01:40,63.1,25.9,34.1,12.36,30.62,960,192,190.33,184,0.1969,60.0,186.45,734.53,0
22,2025-06-01T00:01:45,18.3,12.6,33.3,12.46,31.44,1912,956,87.78,968,0.0578,93.6,219.02,730.66,0
23,2025-06-01T00:01:50,32.8,91.8,34.0,12.95,32.74,2864,716,86.44,101,0.1705,64.9,217.72,73.65,0
24,2025-06-01T00:01:55,39.8,10.7,68.0,13.33,34.05,1280,256,135.94,306,0.1801,32.2,234.56,397.34,0
25,2025-06-01T00:02:00,48.3,76.2,54.0,14.27,36.19,1912,478,153.75,511,0.0938,62.6,154.34,93.77,0
26,2025-06-01T00:02:05,79.6,23.7,39.8,14.88,37.6,430,215,95.64,700,0.1717,58.9,240.01,715.13,0
27,2025-06-01T00:02:10,24.0,92.1,16.6,14.85,37.77,618,309,43.59,220,0.063,49.0,168.22,19.33,0
28,2025-06-01T00:02:15,53.9,90.4,4.2,15.93,39.56,3670,734,154.89,1580,0.1791,50.6,130.73,438.58,0
29,2025-06-01T00:02:20,61.3,68.9,23.4,16.06,39.93,886,443,64.75,1665,0.1308,90.5,130.49,153.27,0
30,2025-06-01T00:02:25,9.4,70.5,12.5,16.3,40.87,340,170,35.85,108,0.0469,38.7,93.92,665.2,0
31,2025-06-01T00:02:30,62.7,10.5,79.0,16.87,42.72,3996,999,126.7,1764,0.1594,79.7,230.14,214.75,0
32,2025-06-01T00:02:35,21.2,98.6,13.0,17.46,43.0,1386,462,19.0,411,0.1836,88.7,89.41,407.26,0
33,2025-06-01T00:02:40,11.2,89.0,73.0,18.05,45.29,756,189,194.3,923,0.1184,46.9,209.05,6.06,0
34,2025-06-01T00:02:45,95.1,90.6,39.8,18.48,46.56,1085,217,126.85,1327,0.1545,34.3,216.34,988.93,0
35,2025-06-01T00:02:50,96.7,69.3,9.2,19.84,48.6,266,133,197.19,928,0.161,50.0,121.66,754.34,0
36,2025-06-01T00:02:55,81.8,41.0,81.6,19.77,49.9,2350,470,68.44,1936,0.1596,58.1,172.16,165.24,0
37,2025-06-01T00:03:00,33.9,90.4,58.8,21.03,52.38,3020,755,194.27,599,0.0963,91.8,217.73,444.31,0
38,2025-06-01T00:03:05,14.3,36.2,25.1,20.75,52.76,1674,837,29.97,1008,0.1506,58.0,50.04,498.75,0
39,2025-06-01T00:03:10,70.0,60.6,89.7,20.92,53.15,1585,317,9.1,749,0.1142,36.0,118.68,226.75,0
40,2025-06-01T00:03:15,46.8,19.0,6.4,21.26,53.65,435,87,7.56,244,0.0888,39.5,144.91,85.87,0
41,2025-06-01T00:03:20,16.6,93.0,21.8,21.84,54.26,3900,975,93.51,500,0.0415,52.9,282.71,569.9,0
42,2025-06-01T00:03:25,52.0,22.7,75.7,21.81,54.38,1760,352,17.52,1026,0.1827,42.0,166.06,835.28,0
43,2025-06-01T00:03:30,8.3,30.2,71.5,22.27,55.65,774,387,102.92,785,0.0888,33.9,176.75,572.24,0
44,2025-06-01T00:03:35,91.4,60.2,30.3,22.56,56.6,4015,803,66.17,1684,0.0555,41.4,216.03,631.14,0
45,2025-06-01T00:03:40,29.6,78.8,8.1,22.67,57.16,758,379,67.79,854,0.056,36.9,162.87,591.17,0
46,2025-06-01T00:03:45,67.9,65.7,86.1,23.46,59.04,1240,248,127.49,1725,0.056,43.2,158.1,456.99,0
47,2025-06-01T00:03:50,34.6,30.9,32.7,23.68,59.55,3436,859,33.46,582,0.0105,94.8,293.59,148.15,0
48,2025-06-01T00:03:55,54.4,10.1,21.2,24.75,61.4,108,54,153.54,199,0.0933,59.0,253.08,203.17,0
49,2025-06-01T00:04:00,56.9,78.1,52.6,25.19,62.94,2405,481,116.82,1326,0.1792,72.8,225.44,328.43,0
50,2025-06-01T00:04:05,22.6,98.7,91.2,25.68,65.22,1260,420,183.07,1331,0.0148,40.7,170.13,294.82,0
51,2025-06-01T00:04:10,97.1,82.9,6.3,26.47,65.48,1888,944,73.6,704,0.1918,85.2,136.58,522.07,0
52,2025-06-01T00:04:15,78.6,51.4,77.0,27.31,68.66,1832,916,196.56,848,0.044,47.3,197.98,421.39,0
53,2025-06-01T00:04:20,94.3,91.3,58.1,27.83,69.71,304,152,115.59,885,0.1466,93.9,161.55,637.25,1
54,2025-06-01T00:04:25,90.0,46.9,43.7,29.06,72.01,1452,484,194.71,366,0.1592,84.4,166.65,840.49,0
55,2025-06-01T00:04:30,61.8,57.2,74.9,29.18,72.09,3828,957,6.39,1836,0.1497,91.8,105.4,50.06,0
56,2025-06-01T00:04:35,92.6,52.9,96.7,29.88,74.38,3495,699,145.87,605,0.0744,73.4,247.82,462.94,0
57,2025-06-01T00:04:40,13.4,50.3,24.5,30.35,76.22,2562,854,163.51,349,0.1437,72.8,247.77,216.43,0
58,2025-06-01T00:04:45,23.6,79.8,16.1,30.51,75.93,2150,430,11.58,538,0.0999,84.7,125.23,910.32,0
59,2025-06-01T00:04:50,9.3,57.4,91.5,31.22,78.03,345,115,116.21,1731,0.0389,76.5,122.28,544.91,0
60,2025-06-01T00:04:55,35.9,38.5,67.6,32.15,79.46,1884,628,160.59,1861,0.0482,69.4,119.51,884.3,0
61,2025-06-01T00:05:00,41.9,33.2,44.9,32.43,81.34,1595,319,112.65,486,0.0149,53.3,90.66,670.66,0
62,2025-06-01T00:05:05,30.8,13.4,58.2,32.55,81.55,480,96,13.7,1585,0.0731,44.5,264.56,136.13,0
63,2025-06-01T00:05:10,83.7,62.5,75.1,33.06,83.48,4825,965,139.0,595,0.1483,80.8,116.4,846.93,0
64,2025-06-01T00:05:15,38.9,30.7,77.8,33.11,83.91,1656,414,13.06,715,0.1941,55.1,224.66,318.13,0
65,2025-06-01T00:05:20,31.7,23.3,92.1,34.33,85.01,1860,930,163.68,1084,0.0354,34.0,74.92,743.81,0
66,2025-06-01T00:05:25,56.6,68.8,43.8,34.49,85.52,687,229,9.56,755,0.0771,61.2,233.85,508.96,0
67,2025-06-01T00:05:30,18.4,71.3,30.8,34.34,85.81,234,117,28.34,236,0.0445,72.7,86.83,730.47,0
68,2025-06-01T00:05:35,81.2,77.7,64.7,34.84,86.72,820,164,55.75,679,0.1546,31.5,89.7,528.03,0
69,2025-06-01T00:05:40,12.1,55.3,42.7,35.34,88.24,375,75,127.04,272,0.1847,75.8,257.88,928.02,0
70,2025-06-01T00:05:45,98.8,90.5,60.3,36.12,90.51,1824,608,195.3,101,0.0317,44.6,122.73,510.61,0
71,2025-06-01T00:05:50,78.4,94.3,43.2,36.44,90.79,768,256,24.45,1242,0.1817,44.5,93.1,61.64,0
72,2025-06-01T00:05:55,23.9,82.7,17.0,36.82,90.96,366,122,29.4,956,0.0616,66.6,184.22,452.78,0
73,2025-06-01T00:06:00,5.5,67.2,48.0,36.88,92.52,924,308,74.41,597,0.0524,51.9,68.71,967.49,0
74,2025-06-01T00:06:05,82.5,37.3,69.7,38.04,94.45,1305,435,167.41,1243,0.0208,59.3,227.61,789.81,0
75,2025-06-01T00:06:10,72.2,98.5,80.3,37.67,95.77,4930,986,93.98,889,0.0253,63.3,260.34,631.91,0
76,2025-06-01T00:06:15,74.3,34.7,50.3,38.69,96.21,237,79,65.0,1500,0.0232,89.9,112.1,152.15,0
77,2025-06-01T00:06:20,78.3,28.2,18.2,39.1,97.51,1880,470,112.68,1064,0.0948,43.3,224.5,183.97,0
